歌名,歌手,語言,音圓代號,金嗓代號,弘音代號,集數,備註
愛情限時批,伍佰,台語,12345,,,,
帶著初心去流浪,,台語,200622,,,1314,
習慣一個人,,台語,200624,,,1314,
失去的資格,,台語,200625,,,1314,
陪伴就好,,台語,200626,,,1315,
親愛的姐妹,,台語,200627,,,1315,
千與千尋,,台語,200628,,,1315,
太小,,台語,200629,,,1315,
危險愛情,,華語,200630,,,1316,
我還是愛著他,,華語,200631,,,1316,
阿拉丁,,華語,200632,,,1316,
陌生的熟悉,,華語,200633,,,1316,
大雨中,,華語,200674,,,1317,
愛似仙人掌,,華語,200675,,,1317,
小幸福,,華語,200676,,,1317,
因為我願意,,華語,200677,,,1318,
琉璃鎖,,華語,200678,,,1317,
你幸福我快樂,,華語,200679,,,1317,
雪殤,,華語,200680,,,1318,
風箏斷了線,,華語,200681,,,1319,
感動的淚花,,華語,200682,,,1320,
庸人自擾,,華語,200683,,,1320,
傻愛,,華語,200684,,,1321,
被遺忘的海,,華語,200686,,,1323,
一輩子的愛,,華語,200687,,,1318,
遇見你才懂愛情,,華語,200688,,,1318,
愛是兩個人一輩,,華語,200689,,,1318,
牽手的約定,,華語,200690,,,1319,
只是錯的人,,華語,200691,,,1323,
天長地久的方式,,華語,200692,,,1324,
稻花香,,華語,200693,,,1319,
遙遠的心,,華語,200694,,,1320,
人見人愛,,華語,200695,,,1320,
有你 有我,,華語,200696,,,1319,
一萬種如果,,華語,200697,,,1319,
憑什麼愛過,,華語,200698,,,1320,
可否,,華語,200708,,,1321,
紅塵有你不寂寞,,華語,200709,,,1321,
今生錯過你,,華語,200710,,,1323,
其實很早我就喜,,華語,200711,,,1321,
我的道歉你的抱歉,,華語,200712,,,1323,
對的時間對的地 自由派對 點遇到對的你 梭 ○ 代表【midi無人聲】 ★ 代表【原聲 或 原聲原影】 適用機型：S-2001(BD/IMSBP系列/N系列/N2系列/W系列),● 代表【midi+人聲伴唱】 利用人如欲使用本產品於「公開場所」使用，請逕洽集管團體或著 ◆ 代表【midi+原聲伴唱】 作財產權人取得「公播授權」後，始得合法使用 1 上述符號為【歌曲類型】依機型及功能而有所不同 發行日期 2023/11,華語,200713,,,1324,
男人何苦為難自己 抒情搖滾 ◆,,華語,200714,,,1324,
江南情歌,,華語,200715,,,1321,
喜從天降,,華語,200717,,,1323,
午夜綻放的花,,華語,200718,,,1324,
別在乎,,華語,200719,,,1324,
自由翱翔,,華語,200721,,,1324,
散了就好,,華語,200722,,,1324,
勇敢的期待,,華語,200723,,,1325,
彼岸花,,華語,200724,,,1325,
旅行就去加利福 劉小樂 尼亞 Bossa Nova ○ 代表【midi無人聲】 ★ 代表【原聲 或 原聲原影】 適用機型：S-2001(BD/IMSBP系列/N系列/N2系列/W系列),● 代表【midi+人聲伴唱】 利用人如欲使用本產品於「公開場所」使用，請逕洽集管團體或著 ◆ 代表【midi+原聲伴唱】 作財產權人取得「公播授權」後，始得合法使用 1 上述符號為【歌曲類型】依機型及功能而有所不同 發行日期 2023/12,華語,200725,,,1325,
山河圖,,華語,200726,,,1325,
聆聽,,華語,200727,,,1325,
火熱時光,,華語,200728,,,1326,
住進我心裡的那,,華語,200729,,,1326,
半圓,,華語,200730,,,1326,
謝謝你,,華語,200731,,,1326,
去年夏天,,華語,200757,,,1327,
東西,,華語,200758,,,1327,
醉流年,,客語,200759,,,1328,
不歸人,,客語,200760,,,1328,
時光戀人,,客語,200761,,,1328,
孤獨終老 Mod Soul 花僮 ◆,,客語,200762,,,1328,
忘川情,,客語,200763,,,1328,
雲煙如昨,,客語,200764,,,1328,
逆流成海,,客語,200765,,,1328,
心兒屬於你,,台語,200766,,,1332,
好喜歡你,,台語,200767,,,1332,
你的,,台語,200768,,,1332,
一片空白,,台語,200769,,,1332,
該不該放手,,台語,200770,,,1332,
算了吧,,華語,200771,,,1333,
蒼白,,華語,200772,,,1333,
愛恨自擾,,華語,200773,,,1331,
天黑了,,華語,200774,,,1331,
不要煩惱,,華語,200775,,,1333,
你你我我,,客語,200776,,,1333,
流年渡口,,客語,200777,,,1328,
白白,,華語,200778,,,1333,
越想越寂寞,,華語,200799,,,1327,
小寂寞,,華語,200800,,,1328,
習慣性想你,,華語,200801,,,1327,
禪花,,華語,200802,,,1328,
I always believe,,華語,200803,,,1328,
說散就散的人,,客語,200804,,,1328,
借愛,,華語,200805,,,1327,
我就是想哭,,客語,200806,,,1333,
假裝世界沒有你,,華語,200807,,,1337,
膽小的翻車魚,,華語,200808,,,1337,
跺跺腳,,華語,200809,,,1338,
如果他比我愛你,,客語,200810,,,1338,
我的淚為了誰,,華語,200811,,,1339,
得到你的人卻得 歌曲 歡子,,華語,200812,,,1339,
一個人的精彩,,華語,200813,,,1339,
一直在等你回頭,,華語,200814,,,1339,
愛情碼頭,,華語,200815,,,1340,
簡單的幸福,,客語,200816,,,1338,
那年花開月正圓,,華語,200817,,,1340,
舊時光,,台語,200818,,,1341,
一種愛,,台語,200819,,,1342,
靜聽,,華語,200822,,,1345,
回到那一天,,華語,200823,,,1345,
出塞,,台語,200824,,,1346,
其實我們都沒錯,,華語,200825,,,1345,
愛在深秋,,台語,200826,,,1346,
請你陪我走,,台語,200827,,,1347,
真的用心良苦,,台語,200828,,,1348,
如此堅定,,台語,200829,,,1347,
沒有人心疼,,台語,200830,,,1348,
情人結,,台語,200831,,,1348,
心中的一道彩虹,,華語,200832,,,1349,
光棍天堂,,台語,200833,,,1350,
穿過琴弦的月光,,華語,200834,,,1349,
水鄉的月光,,台語,200835,,,1350,
雪域情歌,,台語,200838,,,1350,
大大大草原,,華語,200839,,,1351,
只是一場戲,,華語,200840,,,1351,
最美的情歌,,台語,200841,,,1352,
愛太深,,台語,200842,,,1352,
愛死不放手,,華語,200844,,,1345,
寸草心,,華語,200853,,,1326,
找一個可以喝醉 ◆ 周素美,東方傳奇,國語,200854,,,1332,
就像你的好,,台語,200856,,,1332,
三國,,華語,200857,,,1335,
懷念過去,,華語,200858,,,1334,
獨身宣言,,台語,200859,,,1332,
魔法,,華語,200860,,,1338,
用什麼證明你愛,,客語,200861,,,1338,
好花不常開 梭 歌曲 ◆ 徐一鳴,,華語,200862,,,1338,
這一刻,,華語,200863,,,1326,
付出不一定能收回,,台語,200864,,,1332,
愛過不後悔,,華語,200865,,,1334,
愛需要全心全意,,客語,200866,,,1338,
愛在２０１２,,台語,200867,,,1332,
愛情紅綠燈 Hip-Hop ◆ 彭鈺雯 ◆ 羅聰,,客語,200868,,,1338,
親愛的能不能再,,客語,200869,,,1338,
幸福的開始,,華語,200870,,,1326,
誰愛我,,華語,200871,,,1338,
大聲唱,,台語,200878,,,1346,
秋畫,,台語,200879,,,1347,
我從草原來,,華語,200880,,,1345,
天籟傳奇,,台語,200881,,,1348,
星光,,華語,200882,,,1349,
溜溜的情歌,,華語,200883,,,1351,
分手情歌,,台語,200884,,,1346,
荷塘夜色,,台語,200885,,,1347,
是誰偷了誰的心,,台語,200886,,,1348,
思念如歌,,華語,200887,,,1349,
美麗的謊言,,華語,200888,,,1351,
這次真的動了心,,華語,200889,,,1353,
寂寞讓我想起你的 王強 美麗,,華語,200890,,,1353,
飄零,,華語,200891,,,1354,
一路高飛,,台語,200893,,,1348,
愛到底,,台語,200894,,,1352,
那些遠去的愛,,華語,200895,,,1353,
我怕,,華語,200896,,,1353,
像羽毛一樣輕,,華語,200897,,,1354,
天亮,,台語,200899,,,1346,
愛上了沈春陽 Hip-Hop 龍軍,,華語,200901,,,1353,
Now is the time,,華語,200902,,,1351,
等你等了那麼久,,華語,200978,,,1329,
醉相思,,華語,200979,,,1330,
老婆你辛苦了,,華語,200980,,,1330,
包容,,華語,200981,,,1329,
荷塘月色,,華語,200982,,,1330,
最炫民族風,,華語,200983,,,1329,
心肝貼心肝,候的自己,台語,201001,,,1339,
奇跡世界,,華語,201014,,,1339,
我不是公主,,華語,201015,,,1340,
郎的誘惑,,台語,201016,,,1341,
天藍藍,,台語,201017,,,1342,
願為你死去,,華語,201018,,,1340,
放膽愛吧,,台語,201019,,,1341,
就讓你成為昨天,,台語,201020,,,1342,
傷城,,華語,201021,,,1339,
我會用一生時間,,台語,201022,,,1342,
喝彩輝煌,,華語,201023,,,1343,
這裡還有童話,,台語,201024,,,1341,
白色裙邊,,台語,201025,,,1342,
無人等候,,華語,201026,,,1340,
夢裡的愛,,台語,201027,,,1341,
寫你的歌,,台語,201028,,,1342,
避免傷害,,台語,201029,,,1341,
加勒比海盜,,台語,201030,,,1342,
Say I Love You Tonight,,台語,201031,,,1342,
愛上你的愛,,華語,201032,,,1343,
不是不想,,台語,201033,,,1344,
Because Anyway,,台語,201034,,,1352,
愛，亮晶晶,,台語,201035,,,1342,
別有用心,,台語,201037,,,1344,
別離開,,華語,201038,,,1353,
情毒,,台語,201039,,,1342,
措手不及,,華語,201040,,,1345,
熱鍋上的螞蟻,,華語,201041,,,1353,
只要有愛,,華語,201042,,,1354,
我該怎麼做,,華語,201043,,,1343,
愛情的城堡,,台語,201044,,,1344,
原諒我一次,,華語,201045,,,1345,
What is love,,華語,201048,,,1353,
我的小寶氣,,台語,201050,,,1352,
愛的漂移,,華語,201051,,,1343,
愛像月光海,,台語,201052,,,1347,
青春的影子,,華語,201053,,,1354,
遙遠的愛,,台語,201216,,,1314,
心綿綿情綿綿 華爾滋 藍詠思 ◆,,國語,201217,,,1314,
我是妳的天,,台語,201219,,,1314,
甘願,,台語,201220,,,1314,
春花秋月,,台語,201222,,,1314,
愛上我,,台語,201223,,,1348,
我的童年,,華語,201224,,,1353,
策馬奔騰,,台語,201227,,,1352,
When you cry,,華語,201228,,,1354,
You Know My Name,,台語,201230,,,1348,
有份愛情放不下,,華語,201237,,,1354,
假如時光會倒流,,台語,201314,,,1344,
離開你是我這輩子 陶鈺玉 的遺憾,,台語,201324,,,1352,
給你機會誠實,,台語,201397,,,1314,
不要以為,,台語,201398,,,1315,
又見山裡紅,,台語,201402,,,1315,
愛你就放了你,,台語,201403,,,1315,
別傷害我,,華語,201404,,,1316,
見你一面,,華語,201405,,,1316,
因為愛你戒了煙,,華語,201406,,,1317,
親愛的你知不知道,,華語,201407,,,1317,
我們的幸福呢,,華語,201408,,,1317,
火了愛,,台語,201654,,,1314,
愛的期限,,台語,201655,,,1314,
你偷走了我的心,,台語,201656,,,1314,
原來有你,,台語,201730,,,1350,
一曲相思,,台語,201731,,,1350,
愛情就像一首歌,,台語,201732,,,1352,
為你心醉,,台語,201765,,,1315,
多情世界,,台語,201766,,,1316,
SAKURA之戀,,國語,201767,,,1315,
茉莉花,,台語,201768,,,1315,
眷戀,,台語,201769,,,1317,
媽媽卡大天,,國語,201770,,,1315,
心愛的人,,台語,201771,,,1316,
墾丁之戀 探戈 歌曲 ◆ 黃鶯,,台語,201772,,,1317,
無底找,,台語,201773,,,1317,
妳過了好嗎,,國語,201774,,,1315,
相思伴孤影,,華語,201775,,,1317,
情問天,,台語,201776,,,1317,
三年感情,,華語,201777,,,1318,
愛無路來,,華語,201778,,,1318,
癡情傷,,華語,201779,,,1318,
愛情酸甘甜,,華語,201780,,,1317,
愛你愛袂停,,台語,201781,,,1319,
女人不是軟弱,,華語,201782,,,1319,
愛情無嫌貴 恰恰 ◆ 呂秋霓 ◆ 王奕心,,華語,201783,,,1319,
情火,,台語,201784,,,1323,
這首歌,,台語,201785,,,1324,
魔力U&Me Techno ◆ 李明洋,,華語,201786,,,1327,
蝴蝶亂飛,,華語,201787,,,1327,
成對成雙,,台語,201788,,,1319,
為你醉千年,,華語,201789,,,1324,
半暝酒,,台語,201790,,,1342,
愛你愛你,,華語,201791,,,1324,
你的心,,台語,201792,,,1327,
放下,,台語,201793,,,1324,
男人的歌 恰恰 ◆ 華昇,,台語,201794,,,1324,
愛•無卡紙,,台語,201795,,,1316,
人生相逢,,台語,201796,,,1339,
隨在伊,,台語,201797,,,1324,
情的鎖鍊,,台語,201798,,,1339,
袂慣習,,台語,201799,,,1326,
有你尚好,,台語,201800,,,1340,
寂寞,,台語,201801,,,1342,
阮欲如何,,台語,201802,,,1339,
女人的名字,,華語,201803,,,1324,
無名情花,,華語,201804,,,1324,
最愛你,,台語,201805,,,1326,
問心肝,,台語,201806,,,1323,
前世注定,,台語,201807,,,1325,
夢成雙 華爾滋 歌曲 ◆ 邱芸子,,台語,201808,,,1326,
愛的數字,牽著手 梭 探戈 ◆ 唐惠理,台語,201809,,,1340,
若有一天,,華語,201810,,,1318,
摸心肝,類型,華語,201811,,,1326,
愛你心袂停,,台語,201812,,,1341,
心飛千萬里,,華語,201814,,,1326,
天涯總有相逢時,,華語,201815,,,1326,
甜甜,,台語,201816,,,1341,
冷月,,台語,201817,,,1341,
愛的Tempo 恰恰 ◆ 潘佩莉.李明洋,,台語,201818,,,1326,
思念的茶,,台語,201819,,,1341,
眼淚哭乎乾,,台語,201820,,,1341,
同心鳥,,台語,201821,,,1339,
晚頓,,台語,201822,,,1342,
愛你第一名,,台語,201823,,,1342,
紅顏女人花,,台語,201824,,,1342,
愛情燒抺退,的神話 中板靈魂樂 搖滾 韋俊男.蔡燕文,台語,201826,,,1342,
水中花,,台語,201827,,,1327,
一吻天涯,,華語,202106,,,1343,
不要對我說,,華語,202107,,,1343,
不該相遇在秋天,,台語,202108,,,1344,
迎新年,,台語,202115,,,1352,
傷心淚,,台語,202179,,,1314,
愛甲這尼深,,國語,202180,,,1314,
問嫦娥,,台語,202189,,,1314,
兩杯拿鐵,,國語,202192,,,1314,
睏,,台語,202193,,,1314,
指尖的如果,,國語,202196,,,1314,
取西經,,國語,202197,,,1314,
一段情緣,,台語,202199,,,1314,
想著過去想起你,,國語,202200,,,1314,
港都秋夜暝,,國語,202201,,,1314,
就是要幸福,,國語,202202,,,1314,
特魯多 葉冠成.廖鳳英,,國語,202203,,,1314,
癡情風雨,,台語,202204,,,1314,
父母攏是為著咱 華爾滋 ○ 代表【midi無人聲】 ★ 代表【原聲 或 原聲原影】 適用機型：S-2001(BD/IMSBP系列/N系列/N2系列/W系列),● 代表【midi+人聲伴唱】 利用人如欲使用本產品於「公開場所」使用，請逕洽集管團體或著 ◆ 代表【midi+原聲伴唱】 作財產權人取得「公播授權」後，始得合法使用 1 上述符號為【歌曲類型】依機型及功能而有所不同 發行日期 2023/02,國語,202205,,,1315,
美夢已經醒,,國語,202206,,,1315,
舊情難忘 華爾滋 ◆ 張瀛仁 ◆ 黃崇凱,,國語,202207,,,1315,
花落雨紛飛,,華語,202208,,,1316,
講話,,台語,202209,,,1315,
愛的表白,,台語,202210,,,1315,
真愛無後悔,,華語,202211,,,1316,
愛妳用生命,,華語,202212,,,1316,
快樂的寶貝,,華語,202213,,,1316,
好好愛自己,,台語,202214,,,1316,
飲酒的藉口,,華語,202215,,,1317,
相逢萬里橋,,華語,202216,,,1317,
心的力量唯有愛,,台語,202217,,,1317,
選擇的人生,,華語,202218,,,1317,
愛情列車,,台語,202219,,,1315,
戀花開,,台語,202220,,,1315,
無所謂,,台語,202221,,,1315,
心愛的謝謝,,國語,202224,,,1315,
舊衫,,台語,202225,,,1315,
負擔,,台語,202226,,,1316,
一卡手戒,,台語,202227,,,1316,
玉蘭花,,台語,202228,,,1315,
戀戀娜奴娃 梭 ○ 代表【midi無人聲】 ★ 代表【原聲 或 原聲原影】 適用機型：S-2001(BD/IMSBP系列/N系列/N2系列/W系列),● 代表【midi+人聲伴唱】 利用人如欲使用本產品於「公開場所」使用，請逕洽集管團體或著 ◆ 代表【midi+原聲伴唱】 作財產權人取得「公播授權」後，始得合法使用 1 上述符號為【歌曲類型】依機型及功能而有所不同 發行日期 2023/03,華語,202229,,,1316,
密碼,,國語,202230,,,1315,
不管,,國語,202231,,,1315,
淪陷,,台語,202232,,,1316,
我想靜靜,,台語,202233,,,1316,
友孝,,台語,202259,,,1316,
吉祥常樂,,台語,202260,,,1316,
失落的情緣,,華語,202261,,,1316,
啥米叫幸福,,華語,202262,,,1316,
愛你到老,類型,華語,202263,,,1316,
奮鬥的人生 探戈 林娜 ◆,,華語,202264,,,1316,
深深戀情 探戈 ◆ 方瑞娥,,台語,202275,,,1317,
拜託天公伯,類型 梭 ◆ 李素專 ◆ 林可昕,華語,202276,,,1317,
空心的巢,,台語,202277,,,1319,
無心,,台語,202278,,,1319,
戀戀純情夢,,華語,202279,,,1319,
重新出發,,台語,202290,,,1317,
水中影,,台語,202291,,,1318,
緣盡情抹煞,,華語,202292,,,1317,
思念港邊,,台語,202293,,,1317,
講乎伊知,,華語,202294,,,1318,
嘿 我的天使,,台語,202295,,,1317,
白鴿的歌,,台語,202296,,,1317,
原點,,台語,202297,,,1318,
青春在流浪,,台語,202298,,,1318,
答案,,台語,202299,,,1318,
抱抱舞,,台語,202300,,,1318,
萬丈深坑,,華語,202301,,,1318,
高山巖之戀 恰恰 ◆ 李雨璇,,華語,202302,,,1318,
度假,,台語,202303,,,1318,
輸贏,,台語,202304,,,1318,
樂暢的人生,,華語,202305,,,1319,
綿綿風雨情,,華語,202306,,,1319,
花言甲巧語 特魯多 ◆ 詹曼鈴,,台語,202307,,,1319,
惜緣,,台語,202308,,,1319; 1342,
咱的巢,,台語,202309,,,1320,
找嘸出路的愛,,華語,202310,,,1320,
吃煙的心情,,華語,202311,,,1320,
快樂的碳坑仔人,,華語,202312,,,1320,
走揣,,台語,202313,,,1318,
幸福的一家人 梭 ○ 代表【midi無人聲】 ★ 代表【原聲 或 原聲原影】 適用機型：S-2001(BD/IMSBP系列/N系列/N2系列/W系列),● 代表【midi+人聲伴唱】 利用人如欲使用本產品於「公開場所」使用，請逕洽集管團體或著 ◆ 代表【midi+原聲伴唱】 作財產權人取得「公播授權」後，始得合法使用 1 上述符號為【歌曲類型】依機型及功能而有所不同 發行日期 2023/05,華語,202314,,,1318,
空望,,台語,202315,,,1318,
合心變黃金 梭 八妹 ◆,,華語,202316,,,1318,
纏綿到天光,,華語,202322,,,1319,
甜粅粅,類型 梭 ◆ 王中平 ◆ 鄭源,華語,202325,,,1318,
無奈,,台語,202326,,,1318,
今仔日的恰恰 恰恰 幸雅 ◆,,華語,202327,,,1319,
愛的呼喚,,台語,202328,,,1319,
可可托海的少女 吉力巴 ○ 代表【midi無人聲】 ★ 代表【原聲 或 原聲原影】 適用機型：S-2001(BD/IMSBP系列/N系列/N2系列/W系列),● 代表【midi+人聲伴唱】 利用人如欲使用本產品於「公開場所」使用，請逕洽集管團體或著 ◆ 代表【midi+原聲伴唱】 作財產權人取得「公播授權」後，始得合法使用 1 上述符號為【歌曲類型】依機型及功能而有所不同 發行日期 2023/06,華語,202329,,,1319,
英雄魂,,台語,202344,,,1320,
窗仔邊,,台語,202345,,,1320,
甘講,,台語,202346,,,1320,
火金姑來照路,,華語,202347,,,1321,
風中誓言夢中情,歡你,華語,202348,,,1321,
放乎去,,台語,202349,,,1320,
蘋果人生,,台語,202350,,,1320,
女人的心聲,,台語,202351,,,1320,
早已遠走,,台語,202352,,,1319,
千分之一,,台語,202353,,,1319,
我回家了,,台語,202354,,,1320,
影子,,台語,202355,,,1320,
第三幕,,台語,202356,,,1319,
第二人格,,台語,202357,,,1320,
多說無用,,台語,202358,,,1319,
空房間,,台語,202359,,,1319,
苦果,,台語,202360,,,1320,
如果不曾相遇,,台語,202361,,,1320,
愛擦身而過,,台語,202362,,,1320,
心碎的記憶,,華語,202363,,,1320,
寸斷的柔情,,華語,202364,,,1320,
想抹曉,,台語,202365,,,1321,
鹿谷之春,,台語,202366,,,1321,
七股海邊的女人,,華語,202367,,,1320,
天地是咱的,,華語,202380,,,1321,
真心緣,,台語,202381,,,1321,
愛的鎖匙交予你,,華語,202382,,,1321,
相愛倆茫茫,,台語,202383,,,1321,
千斤苦,,台語,202384,,,1321,
愛博這重 特魯多 歌曲 ◆ 張維祐,,台語,202385,,,1321,
痴情戀夢,,華語,202386,,,1321,
三貂嶺戀情,,華語,202387,,,1321; 1327,
今生緣今世情,,華語,202392,,,1323,
為紅顏,,台語,202393,,,1321,
淚中花,,台語,202394,,,1321,
迷魂的探戈,,華語,202395,,,1321,
一句愛你買多少,,華語,202396,,,1321,
愛人呀,,台語,202399,,,1321,
Don't Cry,,台語,202400,,,1321,
選擇遺忘,,台語,202403,,,1321,
這世界,,台語,202404,,,1321,
等你到何時,,華語,202410,,,1323,
等無伊,,台語,202411,,,1323,
心手相連,,台語,202429,,,1323,
葫蘆觀音媽,,華語,202430,,,1323,
心愛的你咁知,,華語,202447,,,1323,
心愛的人 恰恰 李偉誠,,台語,202448,,,1323,
甜蜜愛情 恰恰 歌曲 ◆ 一綾,,台語,202449,,,1324,
阿爸,,台語,202450,,,1324,
為你守護 抒情搖滾 歌曲 ◆ 詠心,,台語,202454,,,1323,
幸福有我就有你,,華語,202455,,,1323,
人生旅途,,台語,202456,,,1323,
耍賴,,台語,202462,,,1323,
冷影,,台語,202463,,,1323,
愛情天堂,,台語,202464,,,1324,
盪鞦韆,,台語,202465,,,1324,
不忘,,台語,202466,,,1323,
小八卦,,台語,202467,,,1323,
灰黑白,,台語,202468,,,1324,
習慣,,台語,202469,,,1324,
迷失,,台語,202470,,,1324,
醉月,,台語,202471,,,1323,
一個人的咖啡,,華語,202472,,,1323,
為你寫的詩,,華語,202473,,,1323,
謝謝你,,台語,202484,,,1325,
堅持到成功,,華語,202485,,,1325,
舉枷,,台語,202486,,,1326,
你甘知,,台語,202487,,,1324,
愛妳的劇本,,華語,202488,,,1324,
愛你在今夜,,華語,202489,,,1324,
藏愛,,台語,202491,,,1325,
月娘呦,,台語,202492,,,1325,
再見不見,,台語,202493,,,1325,
幸福的體會 梭 郭彥谷,,華語,202494,,,1325,
足愛你,,台語,202499,,,1325,
夜思戀,,台語,202500,,,1325,
無拼哪會紅,,華語,202501,,,1325,
微微,,台語,202502,,,1325,
不作歹命子 慢迪斯可 歌曲 ◆ 田易佳,,台語,202503,,,1325,
獨一無二,,華語,202518,,,1326,
無字情歌,,華語,202519,,,1326,
放手一搏,,台語,202524,,,1325,
三更,,台語,202525,,,1326,
天生絕配,,華語,202526,,,1326,
如果從此,,台語,202527,,,1325,
美麗與哀愁,,台語,202528,,,1326,
嚮往,,台語,202529,,,1325,
今天有雨,,台語,202530,,,1326,
此刻時分,,台語,202531,,,1326,
活該,,台語,202532,,,1325,
青春白帆,,台語,202533,,,1325,
旗后臨水宮宮歌,,華語,202534,,,1325,
愛情支票,,華語,202547,,,1326,
禮讚 藥師佛頌,,台語,202548,,,1326,
幸福來相偎,,華語,202549,,,1326,
拼落去 探戈 ◆ 林春甄,,台語,202550,,,1327,
花蕊夢醒 探戈 歌曲 周素美.寒雲 ◆,,台語,202561,,,1327,
快樂做自己,,華語,202562,,,1327,
快樂無憂愁 特魯多 朱宏敏.張純玉 ◆,,華語,202563,,,1327,
幸福向前行 吉力巴 ◆ 張純玉,,華語,202564,,,1327,
幸福過日子 恰恰 ◆ 昉蔝,,華語,202565,,,1327,
桃園車站的戀情 華爾滋 ◆ 許吉本,,華語,202566,,,1327,
感情一字痛,,華語,202567,,,1327,
緣盡情深,,華語,202568,,,1327,
你就是方向,,台語,202569,,,1327,
心痛無卡紙,,華語,202570,,,1327,
有情有義的好兄弟 梭 ○ 代表【midi無人聲】 ★ 代表【原聲 或 原聲原影】 適用機型：S-2001(BD.IMSBP系列.N系列.N2系列.W系列),● 代表【midi+人聲伴唱】 利用人如欲使用本產品於「公開場所」使用，請逕洽集管團體或著 ◆ 代表【midi+原聲伴唱】 作財產權人取得「公播授權」後，始得合法使用 1 上述符號為【歌曲類型】依機型及功能而有所不同 發行日期 2024/02,華語,202571,,,1327,
墜落情海 梭 ◆ 林璟証 ◆ V-girls李俊,,華語,202572,,,1327,
逐夢英雄,,台語,202573,,,1327,
異鄉戀歌,,台語,202584,,,1328,
流浪的背影,,華語,202585,,,1329,
竹山好所在 梭 盧正焜/蔡沼玲,,台語,202586,,,1329,
一杯黑咖啡,,台語,202587,,,1328,
緣,,台語,202588,,,1328,
今生的依偎,,台語,202590,,,1328,
牽你的雙手,類型,華語,202591,,,1328,
一萬滴淚滴,,台語,202594,,,1328,
我的神曲,,台語,202595,,,1329,
夢見,,台語,202596,,,1329,
今生唯一的愛,,華語,202597,,,1328,
恩恩愛愛,,台語,202598,,,1328,
姊弟戀,,台語,202599,,,1329,
對酒,,華語,202600,,,1329,
依官網/ＤＭ產品規格表定義為準,,華語,202601,,,3022,
依官網/ＤＭ產品規格表定義為準,,台語,202603,,,3024,
有閒來撩,,客語,202604,,,1328,
依官網/ＤＭ產品規格表定義為準,,客語,202607,,,1356,
美麗愛情詩,,華語,202618,,,1329,
拼出一片天 倫巴 ◆ 江意銘 ◆ 鄭源,,華語,202619,,,1329,
夢中在想你 梭 歌曲 寒雲 ◆ 類型 歌號 粵語歌曲,,華語,202620,,,1329,
愛刻置阮心底 梭 ◆ 莎拉 Sana,,華語,202621,,,1329,
台灣向前行,的你,台語,202622,,,1329,
迷戀恰恰,類型 恰恰 ◆ 王俊清 ◆ 祁隆,華語,202624,,,1330,
千行淚,,台語,202625,,,1330,
愛你無理由,,華語,202626,,,1330,
放風飛 華爾滋 ◆ 林俊吉,,台語,202627,,,1330,
傷心伴孤單,,華語,202628,,,1330,
溫柔心機,,台語,202629,,,1329,
感情的車班,,華語,202630,,,1329,
想要無共樣,,客語,202631,,,1329,
對手,,台語,202632,,,1329,
愛情的花欉,,華語,202633,,,1329,
草屯媽之歌,,華語,202634,,,1329,
